"rep_id","ind_id","par_id","is_tip","s","c","j_obs","tau_a","tau_b","delta","seg_idx","n_segs","branch_rate","n_tips","root_state","lo_born","hi_born"
65,89,0,1,2,3,4,3.14149659863946,3.34149659863946,0.2,2,5,1,1,0,0.170068027210884,3.57142857142857
65,89,0,1,3,4,4,3.34149659863946,3.54149659863946,0.2,3,5,1,1,0,0.170068027210884,3.57142857142857
65,89,0,1,4,4,4,3.54149659863946,3.74149659863946,0.2,4,5,NA,1,0,0.170068027210884,3.57142857142857
66,93,0,1,0,0,0,2.74149659863946,3.74149659863946,1,0,1,NA,1,0,0.170068027210884,3.57142857142857
67,94,0,1,0,1,1,2.74149659863946,3.24149659863946,0.5,0,2,1,1,0,0.170068027210884,3.57142857142857
67,94,0,1,1,1,1,3.24149659863946,3.74149659863946,0.5,1,2,NA,1,0,0.170068027210884,3.57142857142857
68,97,0,1,0,0,0,2.74149659863946,3.74149659863946,1,0,1,NA,1,0,0.170068027210884,3.57142857142857
69,98,0,1,0,0,0,2.74149659863946,3.74149659863946,1,0,1,NA,1,0,0.170068027210884,3.57142857142857
70,100,0,1,0,0,0,2.74149659863946,3.74149659863946,1,0,1,NA,1,0,0.170068027210884,3.57142857142857
71,101,0,1,0,1,1,2.74149659863946,3.24149659863946,0.5,0,2,1,1,0,0.170068027210884,3.57142857142857
71,101,0,1,1,1,1,3.24149659863946,3.74149659863946,0.5,1,2,NA,1,0,0.170068027210884,3.57142857142857
72,102,0,1,0,0,0,2.91156462585034,3.91156462585034,1,0,1,NA,1,0,0.340136054421769,3.74149659863946
73,103,0,1,0,1,4,2.91156462585034,3.11156462585034,0.2,0,5,1,1,0,0.340136054421769,3.74149659863946
73,103,0,1,1,2,4,3.11156462585034,3.31156462585034,0.2,1,5,1,1,0,0.340136054421769,3.74149659863946
73,103,0,1,2,3,4,3.31156462585034,3.51156462585034,0.2,2,5,1,1,0,0.340136054421769,3.74149659863946
73,103,0,1,3,4,4,3.51156462585034,3.71156462585034,0.2,3,5,1,1,0,0.340136054421769,3.74149659863946
73,103,0,1,4,4,4,3.71156462585034,3.91156462585034,0.2,4,5,NA,1,0,0.340136054421769,3.74149659863946
74,104,0,1,0,1,1,2.91156462585034,3.41156462585034,0.5,0,2,1,1,0,0.340136054421769,3.74149659863946
74,104,0,1,1,1,1,3.41156462585034,3.91156462585034,0.5,1,2,NA,1,0,0.340136054421769,3.74149659863946
75,106,0,1,0,0,0,2.91156462585034,3.91156462585034,1,0,1,NA,1,0,0.340136054421769,3.74149659863946
76,107,0,1,0,0,0,2.91156462585034,3.91156462585034,1,0,1,NA,1,0,0.340136054421769,3.74149659863946
77,108,0,1,0,0,0,2.91156462585034,3.91156462585034,1,0,1,NA,1,0,0.340136054421769,3.74149659863946
78,114,0,1,0,0,0,3.08163265306122,4.08163265306122,1,0,1,NA,1,0,0.510204081632653,3.91156462585034
79,115,0,1,0,0,0,3.08163265306122,4.08163265306122,1,0,1,NA,1,0,0.510204081632653,3.91156462585034
80,116,0,1,0,0,0,3.08163265306122,4.08163265306122,1,0,1,NA,1,0,0.510204081632653,3.91156462585034
81,117,0,1,0,1,1,3.08163265306122,3.58163265306122,0.5,0,2,1,1,0,0.510204081632653,3.91156462585034
81,117,0,1,1,1,1,3.58163265306122,4.08163265306122,0.5,1,2,NA,1,0,0.510204081632653,3.91156462585034
82,118,0,1,0,0,0,3.08163265306122,4.08163265306122,1,0,1,NA,1,0,0.510204081632653,3.91156462585034
83,119,0,1,0,0,0,3.08163265306122,4.08163265306122,1,0,1,NA,1,0,0.510204081632653,3.91156462585034
84,120,0,1,0,0,0,3.08163265306122,4.08163265306122,1,0,1,NA,1,0,0.510204081632653,3.91156462585034
85,121,0,1,0,0,0,3.08163265306122,4.08163265306122,1,0,1,NA,1,0,0.510204081632653,3.91156462585034
86,122,0,1,0,1,1,3.08163265306122,3.58163265306122,0.5,0,2,1,1,0,0.510204081632653,3.91156462585034
86,122,0,1,1,1,1,3.58163265306122,4.08163265306122,0.5,1,2,NA,1,0,0.510204081632653,3.91156462585034
87,123,0,1,0,0,0,3.08163265306122,4.08163265306122,1,0,1,NA,1,0,0.510204081632653,3.91156462585034
88,124,0,1,0,1,1,3.08163265306122,3.58163265306122,0.5,0,2,1,1,0,0.510204081632653,3.91156462585034
88,124,0,1,1,1,1,3.58163265306122,4.08163265306122,0.5,1,2,NA,1,0,0.510204081632653,3.91156462585034
89,125,0,1,0,1,4,3.25170068027211,3.45170068027211,0.2,0,5,1,1,0,0.680272108843537,4.08163265306122
89,125,0,1,1,2,4,3.45170068027211,3.65170068027211,0.2,1,5,1,1,0,0.680272108843537,4.08163265306122
89,125,0,1,2,3,4,3.65170068027211,3.85170068027211,0.2,2,5,1,1,0,0.680272108843537,4.08163265306122
89,125,0,1,3,4,4,3.85170068027211,4.05170068027211,0.2,3,5,1,1,0,0.680272108843537,4.08163265306122
89,125,0,1,4,4,4,4.05170068027211,4.25170068027211,0.2,4,5,NA,1,0,0.680272108843537,4.08163265306122
90,126,0,1,0,0,0,3.25170068027211,4.25170068027211,1,0,1,NA,1,0,0.680272108843537,4.08163265306122
91,127,0,1,0,1,5,3.25170068027211,3.41836734693877,0.166666666666667,0,6,1,1,0,0.680272108843537,4.08163265306122
91,127,0,1,1,2,5,3.41836734693877,3.58503401360544,0.166666666666667,1,6,1,1,0,0.680272108843537,4.08163265306122
91,127,0,1,2,3,5,3.58503401360544,3.75170068027211,0.166666666666667,2,6,1,1,0,0.680272108843537,4.08163265306122
91,127,0,1,3,4,5,3.75170068027211,3.91836734693877,0.166666666666667,3,6,1,1,0,0.680272108843537,4.08163265306122
91,127,0,1,4,5,5,3.91836734693877,4.08503401360544,0.166666666666667,4,6,1,1,0,0.680272108843537,4.08163265306122
91,127,0,1,5,5,5,4.08503401360544,4.25170068027211,0.166666666666667,5,6,NA,1,0,0.680272108843537,4.08163265306122
92,128,0,1,0,1,5,3.25170068027211,3.41836734693877,0.166666666666667,0,6,1,1,0,0.680272108843537,4.08163265306122
92,128,0,1,1,2,5,3.41836734693877,3.58503401360544,0.166666666666667,1,6,1,1,0,0.680272108843537,4.08163265306122
92,128,0,1,2,3,5,3.58503401360544,3.75170068027211,0.166666666666667,2,6,1,1,0,0.680272108843537,4.08163265306122
92,128,0,1,3,4,5,3.75170068027211,3.91836734693877,0.166666666666667,3,6,1,1,0,0.680272108843537,4.08163265306122
92,128,0,1,4,5,5,3.91836734693877,4.08503401360544,0.166666666666667,4,6,1,1,0,0.680272108843537,4.08163265306122
92,128,0,1,5,5,5,4.08503401360544,4.25170068027211,0.166666666666667,5,6,NA,1,0,0.680272108843537,4.08163265306122
93,132,0,1,0,0,0,3.42176870748299,4.42176870748299,1,0,1,NA,1,0,0.850340136054422,4.25170068027211
94,133,0,1,0,0,0,3.42176870748299,4.42176870748299,1,0,1,NA,1,0,0.850340136054422,4.25170068027211
95,134,0,1,0,1,10,3.42176870748299,3.51267779839208,0.0909090909090908,0,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,1,2,10,3.51267779839208,3.60358688930117,0.0909090909090908,1,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,2,3,10,3.60358688930117,3.69449598021027,0.0909090909090908,2,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,3,4,10,3.69449598021027,3.78540507111936,0.0909090909090913,3,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,4,5,10,3.78540507111936,3.87631416202845,0.0909090909090908,4,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,5,6,10,3.87631416202845,3.96722325293754,0.0909090909090908,5,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,6,7,10,3.96722325293754,4.05813234384663,0.0909090909090913,6,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,7,8,10,4.05813234384663,4.14904143475572,0.0909090909090908,7,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,8,9,10,4.14904143475572,4.23995052566481,0.0909090909090908,8,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,9,10,10,4.23995052566481,4.3308596165739,0.0909090909090908,9,11,1,1,0,0.850340136054422,4.25170068027211
95,134,0,1,10,10,10,4.3308596165739,4.42176870748299,0.0909090909090908,10,11,NA,1,0,0.850340136054422,4.25170068027211
96,142,0,1,0,0,0,3.42176870748299,4.42176870748299,1,0,1,NA,1,0,0.850340136054422,4.25170068027211
97,143,0,1,0,0,0,3.42176870748299,4.42176870748299,1,0,1,NA,1,0,0.850340136054422,4.25170068027211
98,144,0,1,0,0,0,3.42176870748299,4.42176870748299,1,0,1,NA,1,0,0.850340136054422,4.25170068027211
99,145,0,1,0,0,0,3.59183673469388,4.59183673469388,1,0,1,NA,1,0,1.02040816326531,4.42176870748299
100,146,0,1,0,0,0,3.59183673469388,4.59183673469388,1,0,1,NA,1,0,1.02040816326531,4.42176870748299
101,147,0,1,0,0,0,3.59183673469388,4.59183673469388,1,0,1,NA,1,0,1.02040816326531,4.42176870748299
102,148,0,1,0,1,1,3.59183673469388,4.09183673469388,0.5,0,2,1,1,0,1.02040816326531,4.42176870748299
102,148,0,1,1,1,1,4.09183673469388,4.59183673469388,0.5,1,2,NA,1,0,1.02040816326531,4.42176870748299
103,149,0,1,0,1,3,3.59183673469388,3.84183673469388,0.25,0,4,1,1,0,1.02040816326531,4.42176870748299
103,149,0,1,1,2,3,3.84183673469388,4.09183673469388,0.25,1,4,1,1,0,1.02040816326531,4.42176870748299
103,149,0,1,2,3,3,4.09183673469388,4.34183673469388,0.25,2,4,1,1,0,1.02040816326531,4.42176870748299
103,149,0,1,3,3,3,4.34183673469388,4.59183673469388,0.25,3,4,NA,1,0,1.02040816326531,4.42176870748299
104,150,0,1,0,1,4,3.59183673469388,3.79183673469388,0.2,0,5,1,1,0,1.02040816326531,4.42176870748299
104,150,0,1,1,2,4,3.79183673469388,3.99183673469388,0.2,1,5,1,1,0,1.02040816326531,4.42176870748299
104,150,0,1,2,3,4,3.99183673469388,4.19183673469388,0.200000000000001,2,5,1,1,0,1.02040816326531,4.42176870748299
104,150,0,1,3,4,4,4.19183673469388,4.39183673469388,0.199999999999999,3,5,1,1,0,1.02040816326531,4.42176870748299
104,150,0,1,4,4,4,4.39183673469388,4.59183673469388,0.2,4,5,NA,1,0,1.02040816326531,4.42176870748299
105,151,0,1,0,0,0,3.59183673469388,4.59183673469388,1,0,1,NA,1,0,1.02040816326531,4.42176870748299
106,153,0,1,0,0,0,3.76190476190476,4.76190476190476,1,0,1,NA,1,0,1.19047619047619,4.59183673469388
107,155,0,1,0,0,0,3.76190476190476,4.76190476190476,1,0,1,NA,1,0,1.19047619047619,4.59183673469388
108,156,0,1,0,0,0,3.76190476190476,4.76190476190476,1,0,1,NA,1,0,1.19047619047619,4.59183673469388
109,157,0,1,0,0,0,3.76190476190476,4.76190476190476,1,0,1,NA,1,0,1.19047619047619,4.59183673469388
110,158,0,1,0,0,0,3.76190476190476,4.76190476190476,1,0,1,NA,1,0,1.19047619047619,4.59183673469388
111,160,0,1,0,0,0,3.76190476190476,4.76190476190476,1,0,1,NA,1,0,1.19047619047619,4.59183673469388
112,163,0,1,0,0,0,3.76190476190476,4.76190476190476,1,0,1,NA,1,0,1.19047619047619,4.59183673469388
113,164,0,1,0,1,1,3.93197278911565,4.43197278911565,0.5,0,2,1,1,0,1.36054421768707,4.76190476190476
113,164,0,1,1,1,1,4.43197278911565,4.93197278911565,0.5,1,2,NA,1,0,1.36054421768707,4.76190476190476
114,166,0,1,0,1,1,3.93197278911565,4.43197278911565,0.5,0,2,1,1,0,1.36054421768707,4.76190476190476
114,166,0,1,1,1,1,4.43197278911565,4.93197278911565,0.5,1,2,NA,1,0,1.36054421768707,4.76190476190476
115,167,0,1,0,1,5,3.93197278911565,4.09863945578231,0.166666666666667,0,6,1,1,0,1.36054421768707,4.76190476190476
115,167,0,1,1,2,5,4.09863945578231,4.26530612244898,0.166666666666666,1,6,1,1,0,1.36054421768707,4.76190476190476
115,167,0,1,2,3,5,4.26530612244898,4.43197278911565,0.166666666666667,2,6,1,1,0,1.36054421768707,4.76190476190476
115,167,0,1,3,4,5,4.43197278911565,4.59863945578231,0.166666666666667,3,6,1,1,0,1.36054421768707,4.76190476190476
115,167,0,1,4,5,5,4.59863945578231,4.76530612244898,0.166666666666666,4,6,1,1,0,1.36054421768707,4.76190476190476
115,167,0,1,5,5,5,4.76530612244898,4.93197278911565,0.166666666666667,5,6,NA,1,0,1.36054421768707,4.76190476190476
116,168,0,1,0,1,6,3.93197278911565,4.07482993197279,0.142857142857143,0,7,1,1,0,1.36054421768707,4.76190476190476
116,168,0,1,1,2,6,4.07482993197279,4.21768707482993,0.142857142857142,1,7,1,1,0,1.36054421768707,4.76190476190476
116,168,0,1,2,3,6,4.21768707482993,4.36054421768707,0.142857142857143,2,7,1,1,0,1.36054421768707,4.76190476190476
116,168,0,1,3,4,6,4.36054421768707,4.50340136054422,0.142857142857142,3,7,1,1,0,1.36054421768707,4.76190476190476
116,168,0,1,4,5,6,4.50340136054422,4.64625850340136,0.142857142857143,4,7,1,1,0,1.36054421768707,4.76190476190476
116,168,0,1,5,6,6,4.64625850340136,4.7891156462585,0.142857142857142,5,7,1,1,0,1.36054421768707,4.76190476190476
116,168,0,1,6,6,6,4.7891156462585,4.93197278911565,0.142857142857143,6,7,NA,1,0,1.36054421768707,4.76190476190476
117,169,0,1,0,1,1,3.93197278911565,4.43197278911565,0.5,0,2,1,1,0,1.36054421768707,4.76190476190476
117,169,0,1,1,1,1,4.43197278911565,4.93197278911565,0.5,1,2,NA,1,0,1.36054421768707,4.76190476190476
118,170,0,1,0,0,0,3.93197278911565,4.93197278911565,1,0,1,NA,1,0,1.36054421768707,4.76190476190476
119,175,0,1,0,1,2,3.93197278911565,4.26530612244898,0.333333333333333,0,3,1,1,0,1.36054421768707,4.76190476190476
119,175,0,1,1,2,2,4.26530612244898,4.59863945578231,0.333333333333334,1,3,1,1,0,1.36054421768707,4.76190476190476
119,175,0,1,2,2,2,4.59863945578231,4.93197278911565,0.333333333333333,2,3,NA,1,0,1.36054421768707,4.76190476190476
